Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Trait1,Trait2,Trait3,Trait4,Trait5
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
2,3,4,2,1,Creative,Organized,Outgoing,Assertive,Restless
3,2,2,4,3,Imaginative,Carefree,Introverted,Cooperative,Stable
1,4,3,2,4,Imaginative,Disciplined,Sociable,Assertive,Restless
4,1,2,3,5,Mundane,Carefree,Introverted,Cooperative,Restless
3,3,3,3,3,Imaginative,Organized,Sociable,Cooperative,Stable
2,4,1,2,5,Imaginative,Disciplined,Introverted,Assertive,Restless
4,2,4,1,4,Mundane,Carefree,Outgoing,Assertive,Restless
2,5,3,2,3,Imaginative,Disciplined,Sociable,Assertive,Stable
3,2,4,3,1,Creative,Carefree,Outgoing,Assertive,Restless
1,3,2,4,2,Imaginative,Organized,Introverted,Cooperative,Restless
3,1,3,2,4,Imaginative,Carefree,Sociable,Assertive,Restless
4,4,2,1,5,Mundane,Disciplined,Introverted,Assertive,Restless
